,Date Time,Tick Number,Open,High,Low,Close,Cumulative Volume,Cumulative Buy Volume,Cumulative Sell Volume,Cumulative Ticks,Cumulative Dollar Value,Threshold,VPIN
5130,2023/01/17 10:11:29.000,334030,14900.0,14920.0,14880.0,14880.0,1018227.0,358072.0,660155.0,71,15169404450.0,1000000,0.2966754957391623
5131,2023/01/17 10:13:41.000,334141,14880.0,14880.0,14820.0,14830.0,1000603.0,144914.0,855689.0,111,14840849330.0,1000000,0.710346660963439
5132,2023/01/17 10:20:24.000,334254,14830.0,14900.0,14810.0,14850.0,1029914.0,351676.0,678238.0,113,15287424430.0,1000000,0.31707695982382994
5133,2023/01/17 10:25:02.000,334331,14860.0,14880.0,14850.0,14870.0,1011067.0,453169.0,557898.0,77,15032225820.0,1000000,0.10358265080355704
5134,2023/01/17 10:26:10.000,334384,14870.0,14920.0,14870.0,14920.0,1006901.0,912683.0,94218.0,53,14996889440.0,1000000,0.8128554843028262
5135,2023/01/17 10:30:51.000,334475,14930.0,14940.0,14890.0,14910.0,1001254.0,537465.0,463789.0,91,14937298000.0,1000000,0.07358372600758649
5136,2023/01/17 10:32:56.000,334530,14910.0,14910.0,14870.0,14870.0,1048305.0,212777.0,835528.0,55,15603064250.0,1000000,0.5940551652429398
5137,2023/01/17 10:34:20.000,334594,14870.0,14880.0,14830.0,14880.0,1006554.0,171938.0,834616.0,64,14953663190.0,1000000,0.6583630883191562
5138,2023/01/17 10:39:26.000,334670,14880.0,14900.0,14850.0,14860.0,1015987.0,432060.0,583927.0,76,15124377660.0,1000000,0.1494773063041161
5139,2023/01/17 10:41:36.000,334731,14860.0,14870.0,14810.0,14810.0,1040563.0,29539.0,1011024.0,61,15436671710.0,1000000,0.943224965715675
5140,2023/01/17 10:42:38.000,334815,14810.0,14810.0,14730.0,14730.0,1003667.0,86600.0,917067.0,84,14836907520.0,1000000,0.8274328039080691
5141,2023/01/17 10:43:26.000,334883,14740.0,14740.0,14700.0,14700.0,1020416.0,176752.0,843664.0,68,15009884500.0,1000000,0.6535687405920723
5142,2023/01/17 10:44:45.000,334942,14700.0,14710.0,14660.0,14690.0,1001839.0,648719.0,353120.0,59,14722943130.0,1000000,0.29505639129640593
5143,2023/01/17 10:46:27.000,335024,14690.0,14740.0,14660.0,14700.0,1007878.0,419056.0,588822.0,82,14808345480.0,1000000,0.16843903726443082
5144,2023/01/17 10:48:57.000,335079,14700.0,14730.0,14700.0,14710.0,1016792.0,597227.0,419565.0,55,14962295060.0,1000000,0.1747279679619824
5145,2023/01/17 10:49:52.000,335121,14710.0,14730.0,14700.0,14700.0,1047600.0,545753.0,501847.0,42,15414306460.0,1000000,0.04191103474608629
5146,2023/01/17 10:51:46.000,335192,14700.0,14710.0,14690.0,14710.0,1025808.0,290465.0,735343.0,71,15079593350.0,1000000,0.4336854460093897
5147,2023/01/17 10:53:45.000,335249,14710.0,14710.0,14690.0,14700.0,1073767.0,658619.0,415148.0,57,15782813400.0,1000000,0.22674472208589014
